example_id,beatmap_id,beatmap_hash,beatmap_path,beatmap_name,replay_path,npz_path,accuracy,split
9852d676135cf535b6d28d2861aa1730,872110,036463778a5624bf272fb183caeac570,/home/amine/PycharmProjects/osunator/maps/downloaded/872110.osu,nao - Toaru Shoukoku no Ohimesama ga... [Princess],/home/amine/PycharmProjects/osunator/replays/suitable/9852d676135cf535b6d28d2861aa1730.osr,/home/amine/PycharmProjects/osunator/features/9852d676135cf535b6d28d2861aa1730.npz,100.0,train
ffa56bb031f5278e031b401c126f5b15,3601629,2bdf2122690af8d785d2e8c012ec8a39,/home/amine/PycharmProjects/osunator/maps/downloaded/3601629.osu,kakichoco - Zan'ei [Illusion],/home/amine/PycharmProjects/osunator/replays/suitable/ffa56bb031f5278e031b401c126f5b15.osr,/home/amine/PycharmProjects/osunator/features/ffa56bb031f5278e031b401c126f5b15.npz,100.0,train
9824a3b8f2dbcb88155bd59c0aed24ea,790218,f6fde74bf722188f8580f61711867784,/home/amine/PycharmProjects/osunator/maps/downloaded/790218.osu,La Caution - The a la menthe (Instrumental) [XLR],/home/amine/PycharmProjects/osunator/replays/suitable/9824a3b8f2dbcb88155bd59c0aed24ea.osr,/home/amine/PycharmProjects/osunator/features/9824a3b8f2dbcb88155bd59c0aed24ea.npz,100.0,train
4a211eedbc5f9e3042755913c0d6552d,1150882,7aa65c64d19a2f563946b3db20c55d8c,/home/amine/PycharmProjects/osunator/maps/downloaded/1150882.osu,EPICA - Victims of Contingency [Extra],/home/amine/PycharmProjects/osunator/replays/suitable/4a211eedbc5f9e3042755913c0d6552d.osr,/home/amine/PycharmProjects/osunator/features/4a211eedbc5f9e3042755913c0d6552d.npz,100.0,train
ff991cc823948d9f732aa6b4424cc29f,2625702,a1f936c17afe6169d96b23b28dd61a10,/home/amine/PycharmProjects/osunator/maps/downloaded/2625702.osu,katagiri - ch3rry (Short Ver.) [Blossom],/home/amine/PycharmProjects/osunator/replays/suitable/ff991cc823948d9f732aa6b4424cc29f.osr,/home/amine/PycharmProjects/osunator/features/ff991cc823948d9f732aa6b4424cc29f.npz,100.0,train
4a0faf102b18a58ff4ebcde99e372a4d,691083,bd0bba95dbaed84e0ca132263bf80f68,/home/amine/PycharmProjects/osunator/maps/downloaded/691083.osu,Masa - Onigumo to Kitsune no Shishi to [Kiwin],/home/amine/PycharmProjects/osunator/replays/suitable/4a0faf102b18a58ff4ebcde99e372a4d.osr,/home/amine/PycharmProjects/osunator/features/4a0faf102b18a58ff4ebcde99e372a4d.npz,100.0,train
006c6397a9e2b9b17d90ef81efb28d5d,2546607,2a8cfd211503b300f2089469b549201c,/home/amine/PycharmProjects/osunator/maps/downloaded/2546607.osu,REDALiCE - Pekorap Tropical House Remix [Universal Daikaiten Peko Peko no Mai],/home/amine/PycharmProjects/osunator/replays/suitable/006c6397a9e2b9b17d90ef81efb28d5d.osr,/home/amine/PycharmProjects/osunator/features/006c6397a9e2b9b17d90ef81efb28d5d.npz,100.0,train
00602b31a658652185d000fd01080d07,1303587,b1f2cc5453b84a0b5d8b5a822586c16b,/home/amine/PycharmProjects/osunator/maps/downloaded/1303587.osu,Roromiya Karuta(Hanazawa Kana) - sweets parade [Walao's Extra],/home/amine/PycharmProjects/osunator/replays/suitable/00602b31a658652185d000fd01080d07.osr,/home/amine/PycharmProjects/osunator/features/00602b31a658652185d000fd01080d07.npz,100.0,train
0005754c171ae1c5ca22b00d17d074e6,2964220,7143e76d49b49be008ecfe38d299e335,/home/amine/PycharmProjects/osunator/maps/downloaded/2964220.osu,DM DOKURO - SAVE (Encore) [Fatfan's Expert],/home/amine/PycharmProjects/osunator/replays/suitable/0005754c171ae1c5ca22b00d17d074e6.osr,/home/amine/PycharmProjects/osunator/features/0005754c171ae1c5ca22b00d17d074e6.npz,100.0,train
004bc73bcca8265922ffb48b59018956,2567509,29bc7a971e3ddbe1b6fd5da669bc555b,/home/amine/PycharmProjects/osunator/maps/downloaded/2567509.osu,REDALiCE - Pekorap Tropical House Remix [Extra],/home/amine/PycharmProjects/osunator/replays/suitable/004bc73bcca8265922ffb48b59018956.osr,/home/amine/PycharmProjects/osunator/features/004bc73bcca8265922ffb48b59018956.npz,100.0,test
